caseID,offence,offenceCategory,offenderID,intent,remandDuration,sentence,sentenceType,duration,totalDuration,fineAmount
CC0001,Careless driving,1,OAJP1,Negligent,0,Fined ,Single,0,0,776
CC0002,Exceed speed limit,1,OAML1,Knowing,0,Fined ,Single,0,0,822
CC0003,Careless driving,1,OANC1,Knowing,1,Disqualified,Single,6,5,0
CC0004,Careless driving,1,OAFS1,Reckless,2,Supervision,Single,12,10,0
CC0005,Careless driving,1,OAAL1,Knowing,0,Disqualified,Single,6,6,0
CC0006,Careless driving,1,OALA3,Reckless,0,Supervision,Single,12,12,0
CC0007,Careless driving,1,OARW1,Intentional,1,Community work,Single,12,11,0
CC0008,Exceed speed limit,1,OADV1,Negligent,0,Fined ,Single,6,6,559
CC0009,Driving unsafe vehicle,1,OAMV1,Knowing,0,Fined ,Single,0,0,751
CC0010,Exceed speed limit,1,OADG1,Reckless,0,Fined ,Single,0,0,997
CC0011,Exceed speed limit,1,OARW2,Intentional,0,Fined ,Single,0,0,1000
CC0012,Driving unsafe vehicle,1,OAMM1,Negligent,0,Fined ,Single,0,0,235
CC0013,Driving unsafe vehicle,1,OAMF1,Reckless,0,Fined ,Single,0,0,830
CC0014,Driving unsafe vehicle,1,OATG1,Intentional,0,Fined ,Single,0,0,2000
CC0015,Assault,2,OAMY1,Reckless,6,Prison,Single,9,3,0
CC0016,Drink driving,2,OAAQ1,Knowing,1,Prison,Single,3,2,0
CC0017,Assault,2,OAMG1,Negligent,1,Prison,Single,4,3,0
CC0018,Drink driving,2,OARM1,Reckless,4,Prison,Single,11,7,0
CC0019,Assault,2,OAHF1,Knowing,0,Prison,Single,6,6,0
CC0020,Drink driving,2,OATF1,Negligent,1,Prison,Single,2,1,0
CC0021,Assault,2,OASH1,Intentional,5,Prison,Single,12,7,0
CC0022,Drink driving,2,OARL1,Intentional,5,Prison,Single,12,7,0
CC0023,Aggravated assault,3,OATD1,Negligent,0,Prison,Single,1,1,0
CC0024,Burglary,3,OAKG1,Negligent,1,Prison,Single,2,1,0
CC0025,Dangerous driving,3,OARD1,Negligent,1,Prison,Single,3,2,0
CC0026,Drink driving,3,OALA1,Negligent,0,Prison,Single,12,12,0
CC0027,Threatening to kill,3,OAFT1,Negligent,2,Prison,Single,4,2,0
CC0028,Aggravated assault,3,OADA1,Knowing,2,Prison,Single,5,3,0
CC0029,Burglary,3,OATG2,Knowing,1,Prison,Single,6,5,0
CC0030,Dangerous driving,3,OAKG2,Knowing,0,Prison,Single,7,7,0
CC0031,Drink driving,3,OAAT1,Knowing,1,Prison,Single,16,15,0
