caseID,offence,offenceCategory,offenderID,intent,remandDuration,sentence,sentenceType,duration,totalDuration,fineAmount
CC0001,Careless driving,1,OAJP1,Knowing,0,Community work,Single,2,2,0
CC0002,Murder,4,OAML1,Knowing,0,Prison,Single,12,12,0
CC0003,Assault,2,OANC1,Reckless,0,Supervision,Single,6,6,0
CC0004,Robbery,4,OAFS1,Intentional,0,Intensive supervision,Single,36,36,0
CC0005,Assault,2,OARW1,Intentional,0,Intensive supervision,Single,8,8,0
CC0006,Threatening to kill,3,OADV1,Knowing,0,Intensive supervision,Single,36,36,0
CC0007,Wounding with intent to injure,4,OAMV1,Reckless,0,Supervision,Single,12,12,0
CC0008,Drink driving,2,OADG1,Negligent,0,Prison,Single,6,6,0
CC0009,Aggravated assault,3,OARW2,Reckless,0,Intensive supervision,Single,24,24,0
CC0010,Drink driving,3,OAMM1,Reckless,0,Prison,Single,36,36,0
CC0011,Threatening to kill,3,OAMF1,Negligent,0,Intensive supervision,Single,24,24,0
CC0012,Manslaughter,4,OATG1,Intentional,0,Prison,Single,48,48,0
CC0013,Aggravated burglary,4,OAMY1,Reckless,0,Prison,Single,12,12,0
CC0014,Drink driving,2,OAAQ1,Negligent,0,Prison,Single,6,6,0
CC0015,Threatening to kill,3,OAMG1,Knowing,0,Prison,Single,24,24,0
CC0016,Manslaughter,4,OARM1,Intentional,0,Prison,Single,48,48,0
CC0017,Robbery,4,OAHF1,Reckless,0,Supervision,Single,12,12,0
CC0018,Kidnapping,4,OATF1,Reckless,0,Prison,Single,12,12,0
CC0019,Drink driving,2,OASH1,Negligent,0,Prison,Single,6,6,0
CC0020,Assault,2,OARL1,Intentional,0,Intensive supervision,Single,8,8,0
CC0021,Careless driving,1,OATD1,Negligent,0,Prison,Single,3,3,0
CC0022,Dangerous driving,3,OAKG1,Negligent,0,Prison,Single,24,24,0
CC0023,Robbery,4,OARD1,Knowing,0,Intensive supervision,Single,12,12,0
CC0024,Drink driving,2,OALA1,Reckless,0,Prison,Single,6,6,0
CC0025,Crime with firearm,4,OAFT1,Reckless,0,Prison,Single,36,36,0
CC0026,Dangerous driving,3,OADA1,Negligent,0,Prison,Single,36,36,0
CC0027,Assault,2,OATG2,Negligent,0,Supervision,Single,6,6,0
CC0028,Aggravated assault,3,OAKG2,Knowing,0,Intensive supervision,Single,24,24,0
CC0029,Threatening to kill,3,OAAT1,Negligent,0,Intensive supervision,Single,24,24,0
CC0030,Drink driving,2,OARC1,Reckless,0,Prison,Single,6,6,0
CC0031,Assault,2,OADM1,Intentional,0,Supervision,Single,8,8,0
CC0032,Crime with firearm,4,OATT1,Intentional,0,Prison,Single,48,48,0
CC0033,Aggravated assault,3,OAFB1,Knowing,0,Intensive supervision,Single,24,24,0
CC0034,Wounding with intent to injure,4,OAAM1,Negligent,0,Prison,Single,12,12,0
CC0035,Murder,4,OABF2,Intentinal,0,Prison,Single,48,48,0
CC0036,Drink driving,2,OAMR1,Reckless,0,Prison,Single,6,6,0
CC0037,Aggravated burglary,4,OAPA1,Reckless,0,Intensive supervision,Single,12,12,0
CC0038,Robbery,4,OAJP2,Intentional,0,Supervision,Single,24,24,0
CC0039,Drink driving,3,OAHC1,Reckless,0,Prison,Single,24,24,0
CC0040,Careless driving,1,OARC2,Reckless,0,Prison,Single,3,3,0
CC0041,Kidnapping,4,OALA2,Knowing,0,Prison,Single,24,24,0
CC0042,Murder,4,OABF1,Intentional,0,LIPWP,Single,1200,1200,0
CC0043,Drink driving,2,OAJN1,Negligent,0,Prison,Single,6,6,0
CC0044,Threatening to kill,3,OAQA1,Knowing,0,Prison,Single,24,24,0
CC0045,Assault,2,OAJB1,Reckless,0,Intensive supervision,Single,6,6,0
CC0046,Careless driving,1,OANP1,Negligent,0,Prison,Single,3,3,0
CC0047,Careless driving,1,OASB1,Negligent,0,Prison,Single,3,3,0
CC0048,Drink driving,2,OACV1,Negligent,0,Prison,Single,6,6,0
CC0049,Kidnapping,4,OACJ1,Knowing,0,Prison,Single,12,12,0
CC0050,Drink driving,3,OAMM2,Reckless,0,Prison,Single,24,24,0
CC0051,Aggravated assault,3,OAJG1,Reckless,0,Prison,Single,24,24,0
CC0052,Murder,4,OALB1,Intentional,0,LIPWP,Single,1200,1200,0
CC0053,Wounding with intent to injure,4,OABD1,Reckless,0,Prison,Single,12,12,0
CC0054,Assault,2,OALG1,Negligent,0,Supervision,Single,6,6,0
